2024-06-11 15:44:50, INFO:mIoU:
+-------+------------+
| class |    iou     |
+-------+------------+
|   0   | 0.98796433 |
|   1   | 0.6484289  |
|   2   |  0.603428  |
|   3   |  0.746271  |
|   4   | 0.86372256 |
|   5   | 0.6217214  |
|   6   | 0.56703925 |
|   7   | 0.3670357  |
|   8   | 0.5969585  |
|   9   | 0.40760055 |
|   10  | 0.35259002 |
|   11  | 0.50803363 |
|   12  | 0.7119483  |
|   13  | 0.72286886 |
|   14  | 0.6935646  |
|   15  | 0.5385262  |
|  mIoU | 0.6211063  |
+-------+------------+
